Dias Corridos,DI x pré 252,DI x pré 360,Selic x pré 252,DI x TR 252,DI x TR 360,Dólar x pré 252,Dólar x pré 360,Real x euro preço,DI x euro 360,TBF x pré 252,TBF x pré 360,TR x pré 252,TR x pré 360,DI x dólar 360,Cupom Cambial OC1 360,Cupom limpo 360,Real x dólar preço,IBrX-50 índice1,Ibovespa índice2,DI x IGP-M 252,DI x IPCA 252,Ajuste pré 252,Ajuste pré 360,Ajuste cupom 360,Real x iene preÃ§o,Spread Libor Euro x DÃ³lar taxa,Libor 360,Data
1,14.65,0.0,14.65,12.34,0.0,-32.06,0.0,5.9544856,-131.713,13.04,0.0,2.06,0.0,74.82,74.82,-129.78,5.0821,32976.0,195150.0,14.65,14.65,14.65,0.0,74.82,0.0320107,-1.94,3.948,09/04/2026
4,14.64,10.25,14.64,12.33,8.66,-16.09,-11.78,5.9556393,-29.804,13.03,9.14,2.06,1.47,22.32,22.32,-27.87,5.0828182,33009.77,195434.29,14.64,-14.83,14.64,10.25,22.32,0.03202,-1.94,3.948,09/04/2026
5,14.64,12.42,14.64,12.33,10.48,-9.98,-8.62,5.9561473,-20.565,13.02,11.06,2.06,1.76,20.75,20.75,-18.63,5.0835363,33026.67,195576.59,14.64,-22.86,14.64,12.42,20.75,0.0320238,-1.94,3.948,09/04/2026
6,14.64,13.9,14.64,12.33,11.71,-6.75,-6.44,5.9566572,-14.406,13.02,12.36,2.06,1.96,19.7,19.7,-12.47,5.0842545,33043.58,195719.0,14.64,-26.59,14.64,13.9,19.7,0.0320276,-1.94,3.948,09/04/2026
7,14.64,14.96,14.64,12.33,12.6,-4.76,-4.85,5.9571694,-10.007,13.01,13.29,2.06,2.1,18.96,18.96,-8.07,5.084973,33060.49,195814.96,6.51,-19.75,14.64,14.96,18.96,0.0320315,-1.94,3.948,09/04/2026
8,14.64,15.76,14.64,12.33,13.27,-3.41,-3.65,5.9576686,-6.6979,13.01,14.0,2.06,2.21,18.4,18.4,-4.76,5.0856909,33077.41,195910.96,1.42,-14.83,14.64,15.76,18.4,0.0320352,-1.94,3.948,09/04/2026
14,14.64,13.37,14.64,12.33,11.27,-1.12,-1.03,5.960155,-0.7209,12.99,11.87,2.06,1.89,13.62,13.62,1.22,5.0878487,33128.24,196199.26,-6.54,-5.96,14.64,13.37,13.62,0.0320549,-1.94,3.948,09/04/2026
15,14.64,13.89,14.64,12.32,11.7,-0.66,-0.63,5.9606748,0.4181,12.99,12.33,2.06,1.96,13.68,13.68,2.36,5.0885667,33145.2,196295.45,-8.06,-4.08,14.64,13.89,13.68,0.0320588,-1.94,3.948,09/04/2026
19,14.64,13.12,14.64,12.32,11.05,0.04,0.04,5.9623396,1.8561,12.98,11.64,2.06,1.86,12.33,12.33,3.8,5.0900036,33179.14,196487.98,-10.28,-1.19,14.64,13.12,12.33,0.032072,-1.94,3.948,09/04/2026
20,14.64,13.52,14.64,12.32,11.39,0.31,0.29,5.962853,2.5851,12.98,12.0,2.06,1.91,12.44,12.44,4.53,5.0907227,33196.13,196584.32,-11.12,-0.05,14.64,13.52,12.44,0.0320758,-1.94,3.948,09/04/2026
21,14.64,13.89,14.64,12.32,11.7,0.55,0.52,5.9633696,3.2441,12.98,12.33,2.06,1.96,12.54,12.54,5.19,5.0914442,33213.12,196680.7,-11.84,0.93,14.64,13.89,12.54,0.0320797,-1.94,3.948,09/04/2026
25,14.64,12.42,14.64,12.32,10.47,0.75,0.64,5.9648334,3.1531,12.97,11.02,2.06,1.76,11.11,11.11,5.1,5.0921627,33230.12,196777.13,-10.29,1.79,14.64,12.42,11.11,0.0320918,-1.94,3.948,09/04/2026
32,14.57,12.91,14.57,12.26,10.88,2.75,2.45,5.9772574,3.1213,12.95,11.49,2.06,1.84,9.77,9.77,5.07,5.1008571,33315.26,197259.98,-4.67,4.95,14.57,12.91,9.77,0.0321661,-1.94,3.948,09/04/2026
34,14.55,13.38,14.55,12.24,11.26,3.3,3.05,5.9820383,3.2205,12.94,11.91,2.06,1.9,9.6,9.6,5.17,5.1043392,33349.38,197453.46,-3.08,5.82,14.55,13.38,9.6,0.032194,-1.94,3.956,09/04/2026
36,14.54,13.8,14.54,12.23,11.62,3.76,3.58,5.9866974,3.3298,12.94,12.29,2.06,1.96,9.46,9.46,5.27,5.107821,33383.53,197647.12,-1.73,6.56,14.54,13.8,9.46,0.0322215,-1.93,3.964,09/04/2026
39,14.53,13.23,14.53,12.22,11.14,3.96,3.62,5.9896548,3.1095,12.93,11.78,2.06,1.88,8.91,8.91,5.04,5.1095635,33400.62,197744.02,-1.63,6.86,14.53,13.23,8.91,0.032241,-1.92,3.973,09/04/2026
40,14.53,13.42,14.53,12.21,11.29,4.15,3.85,5.9919361,3.1692,12.93,11.95,2.06,1.91,8.86,8.86,5.09,5.1113049,33417.72,197840.97,-1.54,7.14,14.53,13.42,8.86,0.0322548,-1.91,3.976,09/04/2026
41,14.52,13.6,14.52,12.21,11.45,4.33,4.07,5.9942649,3.2188,12.93,12.12,2.06,1.94,8.81,8.81,5.14,5.1130469,33434.83,197937.97,-1.45,7.4,14.52,13.6,8.81,0.0322684,-1.91,3.979,09/04/2026
